"cluid_mukey"	"profit12"	"profit14"
"2097047410370"	"380.43"	"-112.86"
"2097047410372"	"443.42"	"-75.16"
"2097047410404"	"390.91"	"-102.08"
"2097047410408"	"464.37"	"-64.38"
"2097047410410"	"201.99"	"-198.97"
"2097049410366"	"175.41"	"-110.47"
"2097049410368"	"11.00"	"-249.54"
"2097049410369"	"-26.87"	"-281.64"
"2097049410370"	"131.07"	"-147.92"
"2097049410372"	"175.41"	"-110.47"
"2097049410404"	"143.74"	"-137.21"
"2097049410408"	"181.61"	"-99.76"
"2097096410366"	"391.17"	"-36.80"
"2097096410372"	"391.17"	"-36.80"
"2097096410404"	"338.82"	"-58.76"
"2097096410408"	"412.06"	"-28.06"
"2097096410410"	"150.50"	"-137.83"
"2097097410366"	"388.54"	"-39.55"
"2097097410372"	"388.54"	"-39.55"
"2097097410374"	"315.24"	"-74.72"
"2097097410395"	"105.97"	"-158.07"
"2097097410404"	"336.19"	"-61.51"
"2097097410408"	"409.43"	"-30.81"
"2097097410410"	"147.87"	"-140.58"
"2097097410420"	"252.51"	"-96.67"
"2097098410366"	"420.24"	"-34.71"
"2097098410372"	"420.24"	"-34.71"
"2097098410374"	"346.94"	"-77.77"
"2097098410375"	"294.65"	"-99.33"
"2097098410395"	"137.67"	"-180.08"
"2097098410397"	"127.22"	"-185.44"
"2097098410404"	"367.89"	"-61.63"
"2097098410408"	"441.13"	"-23.93"
"2097098410411"	"210.97"	"-142.38"
"2097098410419"	"200.46"	"-147.77"
"2097098410420"	"284.21"	"-104.68"
"2097789410366"	"460.44"	"-57.44"
"2097789410372"	"460.44"	"-57.44"
"2097789410404"	"407.93"	"-84.36"
"2097789410408"	"481.39"	"-46.66"
"2097789410410"	"219.01"	"-181.25"
"2097789410420"	"323.98"	"-127.41"
"2097790410366"	"153.41"	"-48.02"
"2097790410372"	"153.41"	"-48.02"
"2097790410404"	"121.74"	"-69.98"
"2097790410408"	"159.61"	"-39.28"
"2097790410410"	"8.00"	"-149.05"
"2097791410366"	"461.98"	"-55.84"
"2097791410371"	"377.97"	"-98.90"
"2097791410372"	"461.98"	"-55.84"
"2097791410374"	"388.45"	"-98.90"
"2097791410399"	"503.95"	"-34.31"
"2097791410404"	"409.47"	"-82.76"
"2097791410408"	"482.93"	"-45.06"
"2097791410410"	"220.55"	"-179.65"
"2097791410412"	"220.55"	"-179.65"
"2097792410366"	"464.80"	"-52.90"
"2097792410399"	"506.77"	"-31.37"
